file, segment, start, end, dur, filedur, mean_intensity
engl310_01_20min,cl,68.121,68.171,0.050,1200.470,56.957,
engl310_01_20min,pau,68.171,68.327,0.156,1200.470,45.018,
engl310_01_20min,np,68.327,68.783,0.456,1200.470,82.009,
engl310_01_20min,in,68.783,69.194,0.411,1200.470,58.831,
engl310_01_20min,uh,69.194,69.359,0.166,1200.470,75.467,
engl310_01_20min,np,69.359,70.299,0.940,1200.470,83.722,
engl310_01_20min,in,70.299,70.762,0.462,1200.470,59.913,
engl310_01_20min,um,70.762,71.174,0.413,1200.470,80.520,
engl310_01_20min,np,71.174,74.611,3.436,1200.470,77.764,
engl310_01_20min,pau,74.611,75.140,0.530,1200.470,47.239,
engl310_01_20min,np,75.140,75.592,0.451,1200.470,81.187,
engl310_01_20min,pau,75.592,76.174,0.582,1200.470,48.367,
engl310_01_20min,cl,76.174,76.264,0.090,1200.470,66.591,
engl310_01_20min,in,76.264,76.641,0.377,1200.470,63.757,
engl310_01_20min,uh,76.641,76.810,0.169,1200.470,67.660,
engl310_01_20min,pau,76.810,76.860,0.050,1200.470,45.763,
engl310_01_20min,np,76.860,77.520,0.660,1200.470,82.223,
engl310_01_20min,pau,77.520,77.679,0.159,1200.470,46.829,
engl310_01_20min,np,77.679,78.169,0.490,1200.470,83.107,
engl310_01_20min,uh,78.169,78.439,0.270,1200.470,80.772,
engl310_01_20min,np,78.439,79.980,1.541,1200.470,79.222,
engl310_01_20min,pau,79.980,80.128,0.147,1200.470,48.355,
engl310_01_20min,in,80.128,80.408,0.281,1200.470,55.203,
engl310_01_20min,uh,80.408,80.671,0.263,1200.470,76.081,
engl310_01_20min,pau,80.671,80.724,0.053,1200.470,54.658,
engl310_01_20min,np,80.724,82.173,1.449,1200.470,78.362,
engl310_01_20min,pau,82.173,83.139,0.966,1200.470,52.325,
engl310_01_20min,cl,83.139,83.215,0.076,1200.470,71.876,
engl310_01_20min,np,83.215,84.222,1.007,1200.470,83.636,
engl310_01_20min,uh,84.222,84.400,0.178,1200.470,84.888,
engl310_01_20min,in,84.400,84.752,0.352,1200.470,58.637,
engl310_01_20min,pau,84.752,84.834,0.082,1200.470,50.097,
engl310_01_20min,np,84.834,87.017,2.183,1200.470,81.272,
engl310_01_20min,pau,87.017,87.356,0.339,1200.470,46.855,
engl310_01_20min,in,87.356,87.745,0.390,1200.470,59.399,
engl310_01_20min,uh,87.745,88.128,0.383,1200.470,80.087,
engl310_01_20min,pau,88.128,88.215,0.086,1200.470,55.659,
engl310_01_20min,np,88.215,90.035,1.821,1200.470,81.633,
engl310_01_20min,uh,90.035,90.299,0.263,1200.470,80.599,
engl310_01_20min,pau,90.299,90.403,0.104,1200.470,57.704,
engl310_01_20min,np,90.403,91.114,0.712,1200.470,81.473,
engl310_01_20min,in,91.114,91.549,0.434,1200.470,57.261,
engl310_01_20min,uh,91.549,91.895,0.346,1200.470,80.446,
engl310_01_20min,np,91.895,92.818,0.923,1200.470,82.426,
engl310_01_20min,in,92.818,93.222,0.404,1200.470,60.930,
engl310_01_20min,uh,93.222,93.542,0.321,1200.470,81.794,
