file, segment, start, end, dur, filedur, mean_intensity
Track15_noNarrator,in,160.674,161.059,0.386,358.182,41.852,
Track15_noNarrator,pau,161.059,161.289,0.230,358.182,40.253,
Track15_noNarrator,np,161.289,161.722,0.432,358.182,78.651,
Track15_noNarrator,uh,161.722,161.970,0.248,358.182,79.218,
Track15_noNarrator,np,161.970,164.936,2.967,358.182,78.410,
Track15_noNarrator,pau,164.936,164.959,0.023,358.182,34.289,
Track15_noNarrator,in,164.959,165.242,0.284,358.182,41.085,
Track15_noNarrator,pau,165.242,165.280,0.037,358.182,31.494,
Track15_noNarrator,np,165.280,167.164,1.884,358.182,80.338,
Track15_noNarrator,in,167.164,167.619,0.455,358.182,41.565,
Track15_noNarrator,pau,167.619,167.854,0.235,358.182,46.858,
Track15_noNarrator,np,167.854,169.677,1.823,358.182,78.780,
Track15_noNarrator,pau,169.677,170.534,0.857,358.182,26.639,
Track15_noNarrator,np,170.534,174.367,3.832,358.182,77.292,
Track15_noNarrator,pau,174.367,174.411,0.044,358.182,29.185,
Track15_noNarrator,in,174.411,174.897,0.486,358.182,40.700,
Track15_noNarrator,uh,174.897,175.284,0.387,358.182,75.555,
Track15_noNarrator,np,175.284,176.055,0.772,358.182,79.094,
Track15_noNarrator,pau,176.055,176.156,0.100,358.182,26.172,
Track15_noNarrator,np,176.156,176.992,0.836,358.182,75.303,
Track15_noNarrator,uh,176.992,177.399,0.407,358.182,77.935,
Track15_noNarrator,uh,177.399,177.633,0.234,358.182,74.024,
Track15_noNarrator,np,177.633,179.180,1.547,358.182,76.479,
Track15_noNarrator,pau,179.180,179.325,0.146,358.182,28.221,
Track15_noNarrator,in,179.325,179.894,0.569,358.182,43.124,
Track15_noNarrator,pau,179.894,180.113,0.219,358.182,23.499,
Track15_noNarrator,np,180.113,182.333,2.220,358.182,78.437,
Track15_noNarrator,pau,182.333,182.474,0.141,358.182,25.289,
Track15_noNarrator,in,182.474,182.855,0.382,358.182,39.763,
Track15_noNarrator,uh,182.855,183.129,0.274,358.182,76.632,
Track15_noNarrator,np,183.129,185.332,2.202,358.182,79.843,
Track15_noNarrator,pau,185.332,185.494,0.162,358.182,25.706,
Track15_noNarrator,uh,185.494,185.675,0.181,358.182,61.980,
Track15_noNarrator,np,185.675,187.105,1.430,358.182,79.272,
Track15_noNarrator,in,187.105,187.569,0.463,358.182,40.750,
Track15_noNarrator,pau,187.569,187.617,0.049,358.182,29.335,
Track15_noNarrator,np,187.617,190.255,2.638,358.182,78.336,
Track15_noNarrator,ex,190.255,190.529,0.274,358.182,57.737,
Track15_noNarrator,uh,190.529,190.720,0.191,358.182,76.609,
Track15_noNarrator,np,190.720,192.191,1.471,358.182,77.610,
Track15_noNarrator,pau,192.191,192.379,0.188,358.182,32.991,
Track15_noNarrator,uh,192.379,192.732,0.353,358.182,74.002,
Track15_noNarrator,np,192.732,193.484,0.752,358.182,77.522,
Track15_noNarrator,pau,193.484,193.555,0.071,358.182,28.109,
Track15_noNarrator,np,193.555,194.611,1.056,358.182,76.849,
Track15_noNarrator,in,194.611,195.081,0.470,358.182,46.153,
Track15_noNarrator,pau,195.081,195.114,0.032,358.182,28.953,
Track15_noNarrator,uh1,195.114,195.407,0.293,358.182,72.797,
Track15_noNarrator,np,195.407,199.222,3.815,358.182,78.571,
Track15_noNarrator,uh,199.222,199.460,0.238,358.182,81.619,
Track15_noNarrator,pau,199.460,199.491,0.031,358.182,41.494,
Track15_noNarrator,in,199.491,200.060,0.569,358.182,40.960,
Track15_noNarrator,pau,200.060,200.147,0.087,358.182,27.807,
Track15_noNarrator,np,200.147,202.399,2.251,358.182,78.088,
Track15_noNarrator,pau,202.399,202.463,0.065,358.182,37.068,
Track15_noNarrator,np,202.463,203.833,1.370,358.182,78.459,
Track15_noNarrator,pau,203.833,203.880,0.047,358.182,30.815,
Track15_noNarrator,np,203.880,205.149,1.269,358.182,78.720,
Track15_noNarrator,pau,205.149,205.209,0.060,358.182,36.574,
Track15_noNarrator,np,205.209,205.783,0.575,358.182,77.686,
Track15_noNarrator,pau,205.783,205.830,0.047,358.182,31.587,
Track15_noNarrator,in,205.830,206.258,0.428,358.182,41.676,
Track15_noNarrator,pau,206.258,206.333,0.075,358.182,35.052,
Track15_noNarrator,np,206.333,209.317,2.985,358.182,77.725,
Track15_noNarrator,pau,209.317,210.174,0.857,358.182,23.314,
Track15_noNarrator,np,210.174,210.510,0.335,358.182,79.201,
Track15_noNarrator,in,210.510,211.012,0.503,358.182,41.920,
Track15_noNarrator,pau,211.012,211.062,0.050,358.182,30.367,
Track15_noNarrator,np,211.062,211.388,0.326,358.182,80.437,
Track15_noNarrator,pau,211.388,211.521,0.133,358.182,55.211,
Track15_noNarrator,np,211.521,212.326,0.805,358.182,75.915,
Track15_noNarrator,pau,212.326,212.583,0.258,358.182,24.243,
Track15_noNarrator,in,212.583,212.896,0.313,358.182,38.747,
Track15_noNarrator,pau,212.896,212.995,0.099,358.182,21.786,
Track15_noNarrator,uh,212.995,213.290,0.295,358.182,80.166,
Track15_noNarrator,pau,213.290,213.501,0.211,358.182,44.425,
Track15_noNarrator,np,213.501,216.125,2.624,358.182,78.272,
Track15_noNarrator,pau,216.125,216.377,0.253,358.182,27.486,
Track15_noNarrator,np,216.377,217.239,0.862,358.182,79.371,
Track15_noNarrator,in,217.239,217.579,0.340,358.182,42.410,
Track15_noNarrator,np,217.579,223.380,5.800,358.182,77.973,
Track15_noNarrator,pau,223.380,223.422,0.042,358.182,29.105,
Track15_noNarrator,in,223.422,224.089,0.668,358.182,43.220,
Track15_noNarrator,um,224.089,224.546,0.457,358.182,79.035,
Track15_noNarrator,np,224.546,225.792,1.246,358.182,75.195,
Track15_noNarrator,pau,225.792,225.823,0.031,358.182,24.860,
Track15_noNarrator,um,225.823,226.422,0.600,358.182,75.120,
Track15_noNarrator,ex,226.422,226.669,0.246,358.182,48.141,
Track15_noNarrator,np,226.669,229.430,2.761,358.182,77.043,
Track15_noNarrator,in,229.430,230.010,0.580,358.182,43.058,
Track15_noNarrator,uh,230.010,230.260,0.250,358.182,76.780,
Track15_noNarrator,np,230.260,231.297,1.037,358.182,78.133,
Track15_noNarrator,uh,231.297,231.574,0.277,358.182,81.943,
Track15_noNarrator,np,231.574,232.618,1.044,358.182,79.927,
Track15_noNarrator,pau,232.618,232.686,0.068,358.182,27.808,
Track15_noNarrator,in,232.686,233.102,0.416,358.182,39.514,
Track15_noNarrator,pau,233.102,233.135,0.032,358.182,27.562,
Track15_noNarrator,np,233.135,233.348,0.214,358.182,75.945,
Track15_noNarrator,uh,233.348,233.625,0.277,358.182,79.799,
Track15_noNarrator,np,233.625,236.015,2.389,358.182,78.069,
Track15_noNarrator,pau,236.015,236.044,0.029,358.182,23.740,
Track15_noNarrator,in,236.044,236.637,0.593,358.182,36.048,
