"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)","pints","pintsrate","speaker","session"
"engl310_01_20min","uh",57.56,57.974,0.413,1200.47,"80.242",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",57.974,58.406,0.432,1200.47,"57.267",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",59.35,59.428,0.078,1200.47,"48.232",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",60.712,61.097,0.386,1200.47,"78.489",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",62.063,62.489,0.426,1200.47,"50.530",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",65.078,65.437,0.359,1200.47,"56.775",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",65.437,65.986,0.55,1200.47,"77.593",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",66.24,66.491,0.251,1200.47,"50.730",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",67.916,68.121,0.205,1200.47,"53.234",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","cl",68.121,68.171,0.05,1200.47,"56.957",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",68.171,68.327,0.156,1200.47,"45.018",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",68.783,69.194,0.411,1200.47,"58.831",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",69.194,69.359,0.166,1200.47,"75.467",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",70.299,70.762,0.462,1200.47,"59.913",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","um",70.762,71.174,0.413,1200.47,"80.520",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
