"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)"
"engl310_01_20min","sil",79.98,80.128,0.147,1200.47,"48.355",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",80.128,80.408,0.281,1200.47,"55.203",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",80.408,80.671,0.263,1200.47,"76.081",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",80.671,80.724,0.053,1200.47,"54.658",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",80.724,82.173,1.449,1200.47,"78.362",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",82.173,83.139,0.966,1200.47,"52.325",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","cl",83.139,83.215,0.076,1200.47,"71.876",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",83.215,84.222,1.007,1200.47,"83.636",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",84.222,84.4,0.178,1200.47,"84.888",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",84.4,84.752,0.352,1200.47,"58.637",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",84.752,84.834,0.082,1200.47,"50.097",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",84.834,87.017,2.183,1200.47,"81.272",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",87.017,87.356,0.339,1200.47,"46.855",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",87.356,87.745,0.39,1200.47,"59.399",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",87.745,88.128,0.383,1200.47,"80.087",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",88.128,88.215,0.086,1200.47,"55.659",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",88.215,90.035,1.821,1200.47,"81.633",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",90.035,90.299,0.263,1200.47,"80.599",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","sil",90.299,90.403,0.104,1200.47,"57.704",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",90.403,91.114,0.712,1200.47,"81.473",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",91.114,91.549,0.434,1200.47,"57.261",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",91.549,91.895,0.346,1200.47,"80.446",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",91.895,92.818,0.923,1200.47,"82.426",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","in",92.818,93.222,0.404,1200.47,"60.930",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","uh",93.222,93.542,0.321,1200.47,"81.794",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
"engl310_01_20min","np",93.542,93.895,0.352,1200.47,"76.153",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378
